count,hate_speech_count,offensive_language_count,neither_count,class,tweet
3,0,0,3,2,as a woman you shouldn t complain about cleaning up your house as a man you should always take the trash out
3,0,3,0,1,boy dats cold tyga dwn bad for cuffin dat hoe in the st place
3,0,3,0,1,dawg you ever fuck a bitch and she start to cry you be confused as shit
3,0,2,1,1,she look like a tranny
6,0,6,0,1,the shit you hear about me might be true or it might be faker than the bitch who told it to ya
3,1,2,0,1,the shit just blows me claim you so faithful and down for somebody but still fucking with hoes
3,0,3,0,1,i can not just sit up and hate on another bitch i got too much shit going on
3,0,3,0,1,cause i m tired of you big bitches coming for us skinny girls
3,0,3,0,1,you might not get ya bitch back thats that
3,1,2,0,1,hobbies include fighting mariam bitch
3,0,3,0,1,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
3,0,3,0,1,murda gang bitch its gang land
3,0,2,1,1,so hoes that smoke are losers yea go on ig
3,0,3,0,1,bad bitches is the only thing that i like
3,1,2,0,1,bitch get up off me
3,0,3,0,1,bitch nigga miss me with it
3,0,3,0,1,bitch plz whatever
3,1,2,0,1,bitch who do you love
3,0,3,0,1,bitches get cut off everyday b
3,0,3,0,1,black bottle a bad bitch
3,0,3,0,1,broke bitch cant tell me nothing
3,0,3,0,1,cancel that bitch like nino
3,0,3,0,1,cant you see these hoes wont change
3,0,3,0,1,fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up
3,0,3,0,1,got ya bitch tip toeing on my hardwood floors
3,0,2,1,1,her pussy lips like heaven doors
3,0,3,0,1,hoe what its hitting for
3,0,3,0,1,i met that pussy on ocean dr i gave that pussy a pill
3,0,3,0,1,i need a trippy bitch who fuck on hennessy
3,0,3,0,1,i spend my money how i want bitch its my business
3,0,3,0,1,i txt my old bitch my new bitch pussy wetter
3,0,3,0,1,i d say im back to the old me but my old bitches would get excited
3,0,3,0,1,if you aint bout that murder game pussy nigga shut up
3,0,3,0,1,if you re toes ain t done you pussy stinks
3,0,3,0,1,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
3,0,3,0,1,is that ya bitch
3,0,3,0,1,it aint nothing to cut a bitch off
3,0,3,0,1,jus meet son now he ya mane ass bitches shots
3,0,2,1,1,lames crying over hoes thats tears of a clown
3,0,3,0,1,like snoop said in we dont love these hoes
3,0,1,2,2,momma said no pussy cats inside my doghouse
3,0,3,0,1,most hated but the hoes favorite mw sevenone
3,0,3,0,1,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick
3,0,3,0,1,pimps up pimps up hoes down future voice
3,0,3,0,1,post a picture of that pussy get likes
3,0,3,0,1,pussy is a powerful drug happyhumpday
3,0,3,0,1,quick piece of pussy call it a drive by
3,0,3,0,1,running round here like some brand new pussy thats bout to get fucked
3,0,3,0,1,these bitches even worst they ll send them guys for you
3,1,2,0,1,these hoes like niggas that spend money not talk bout it
3,1,2,0,1,we dont trust these niggas all these bitches
3,0,3,0,1,yall niggas b cuffing hoes cause yall aint never have bitches
3,0,3,0,1,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god
3,0,3,0,1,young pill chamberlain these bitches love my music
3,0,2,1,1,teanna trump probably cleaner than most of these twitter hoes but
3,0,3,0,1,gay niggas couldn t wait to act like bitches tonight
3,0,3,0,1,and ima steal his cat n replace it with a pitbull he a bitch you should do it
3,0,3,0,1,he s gone always be a hoe
3,0,3,0,1,son of a bitch took my tic tacs i like this movie
3,0,3,0,1,all i wanna do is get money and fuck model bitches russell simmons
3,0,2,1,1,i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet
3,0,3,0,1,i m a fucking fag they said
3,0,3,0,1,females think dating a pussy is cute now how does doing this stuff make him a pussy
3,0,0,3,2,simplyaddictedtoguys woof woof hot scally lad
3,0,3,0,1,have ya ever asked your bitch for other bitches kanye voice yes
3,0,3,0,1,how u gone bring ur side bitch to a game where you know ya gf friends at i swear
3,0,1,2,2,woof woof and hot soles
3,0,1,2,2,lemmie eat a oreo do these dishes one oreo lol
3,0,3,0,1,bitch fuck u maybe you ll get better just
3,1,2,0,1,fuck red malone man bitch ass niggah could you please use complete sentences
3,0,0,3,2,why the eggplant emoji doe y he say she looked like scream lmao
3,0,3,0,1,hennessey venom gt that s one sexy bitch
3,0,3,0,1,him seh me pussy wetter then a shower curtain ahmesehwetness lt lmao
3,0,3,0,1,eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
3,1,2,0,1,yo fuck skateboarding all y all some wood pushing faggots man ball is life
